recall_id,prod_start,prod_end,recall_date,recall_count,recall_reason,car_id,defect_id
1,2006-04-18,2009-03-18,2012-01-09,529,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",1,5
2,2006-07-04,2009-01-15,2012-01-09,717,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",2,5
3,2010-08-05,2011-02-02,2012-01-09,75,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",3,5
4,2009-07-15,2011-04-06,2012-01-09,554,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",4,5
5,2007-01-03,2008-12-15,2012-01-09,549,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",5,5
6,2010-02-25,2011-06-17,2012-01-16,92,"자동변속기의 변속위치(P,R,N,D,L)를 조절해 주는 케이블이 고정되지 않아 운전자는 변속위치를 P(주차)로 작동 하였으나 실제 자동차의 변속기는 R(후진) 또는 D(주행) 등의 위치에 놓여 운전자가 의도하지 않은 상태로 주행하여 안전운행에 지장",6,4
7,2005-08-01,2010-10-31,2012-02-01,801,브레이크 패드의 라이닝과 철판이 분리되어 마찰력이 제대로 발생하지 않아 정상적인 제동이 되지 않아 안전운행에 지장,7,1
8,2005-08-01,2010-10-31,2012-02-01,121,브레이크 패드의 라이닝과 철판이 분리되어 마찰력이 제대로 발생하지 않아 정상적인 제동이 되지 않아 안전운행에 지장,8,1
9,2005-08-01,2010-10-31,2012-02-01,2992,브레이크 패드의 라이닝과 철판이 분리되어 마찰력이 제대로 발생하지 않아 정상적인 제동이 되지 않아 안전운행에 지장,9,1
10,2005-08-01,2010-10-31,2012-02-01,4048,브레이크 패드의 라이닝과 철판이 분리되어 마찰력이 제대로 발생하지 않아 정상적인 제동이 되지 않아 안전운행에 지장,10,1
11,2005-08-01,2010-10-31,2012-02-01,1216,브레이크 패드의 라이닝과 철판이 분리되어 마찰력이 제대로 발생하지 않아 정상적인 제동이 되지 않아 안전운행에 지장,11,1
12,2007-03-01,2011-01-18,2012-02-10,2231,압축된 공기를 강제로 엔진에 넣어 출력을 향상 시켜주는 터보의 냉각펌프 제어장치 결함으로 냉각펌프에 화재가 발생하여 안전운행에 지장,12,3
13,2009-05-06,2011-04-27,2012-02-20,446,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",5,5
